title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
Sibak,1994,128,NA,5.5,64,4.5,4.5,4.5,0,4.5,24.5,24.5,14.5,4.5,4.5,,0,0,1,1,0,0,0
Martin,1977,95,800000,6.9,847,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
Laud Weiner,2001,4,NA,5.3,5,0,24.5,0,0,24.5,24.5,0,0,24.5,24.5,,0,0,1,0,0,0,1
Park Row,1952,83,NA,7,85,0,0,0,4.5,4.5,14.5,24.5,24.5,4.5,14.5,,0,0,0,1,0,0,0
Chlopaki nie placza,2000,90,NA,7.2,226,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,,0,0,0,0,0,0,0
Tridtsatogo unichtozhit!,1992,93,NA,2.7,9,24.5,14.5,44.5,0,0,0,14.5,0,0,14.5,,1,0,0,0,0,0,0
"Doulos, Le",1962,108,NA,8,350,4.5,0,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,,0,0,0,0,0,0,0
"Bomba, A",2001,90,NA,6.2,84,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,4.5,14.5,,1,0,1,0,0,0,0
"Cooler, The",2003,101,NA,7,6329,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,R,0,0,1,1,0,1,0
Winter,1988,3,NA,9.2,12,4.5,0,0,0,0,0,4.5,4.5,34.5,44.5,,0,1,0,0,0,0,1
Kiss Me Quick!,1964,70,NA,4.8,43,4.5,4.5,4.5,4.5,4.5,24.5,14.5,4.5,14.5,4.5,,0,0,1,0,0,0,0
"Malheurs de Sophie, Les",1981,87,NA,7.4,5,0,0,0,0,24.5,0,0,84.5,0,0,,0,0,0,0,0,0,0
"Stamatis kai o Gregoris, O",1962,86,NA,6.8,5,0,24.5,0,0,0,24.5,64.5,0,0,0,,0,0,0,0,0,0,0
Laserblast,1978,85,NA,2.5,533,44.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
Buck Privates Come Home,1947,77,NA,6.3,215,4.5,0,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,,0,0,1,0,0,0,0
Mystique,1979,77,NA,6.8,5,0,0,0,0,0,24.5,24.5,44.5,24.5,0,,0,0,0,0,0,0,0
Bagnomaria,1999,90,NA,3.9,26,44.5,14.5,4.5,14.5,4.5,4.5,4.5,4.5,0,0,,0,0,1,0,0,0,0
Gang Tapes,2001,91,NA,5.7,194,14.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,R,0,0,0,1,0,0,0
Tell Them Johnny Wadd Is Here,1975,74,12000,4.6,25,44.5,4.5,4.5,14.5,4.5,4.5,14.5,0,0,14.5,,0,0,0,0,0,0,0
