country,year,lifeExp,pop,gdpPercap,giniPercap,continent
Afghanistan,2018,58.7,36400000,1870,36.8,Asia
Albania,2018,78,2930000,12400,29,Europe
Algeria,2018,77.9,42000000,13700,27.6,Africa
Andorra,2018,NA,77000,51500,40,NA
Angola,2018,65.2,30800000,5850,42.6,Africa
Antigua and Barbuda,2018,77.6,103000,21000,40,NA
Argentina,2018,77,44700000,18900,42.4,Americas
Armenia,2018,76,2930000,8660,32.6,NA
Australia,2018,82.9,24800000,45800,32.3,Oceania
Austria,2018,81.8,8750000,44600,30.5,Europe
Azerbaijan,2018,72.3,9920000,16600,32.4,NA
Bahamas,2018,74.1,399000,21900,43.7,NA
Bahrain,2018,77.2,1570000,44300,40,Asia
Bangladesh,2018,73.4,166000000,3720,32.4,Asia
Barbados,2018,76.8,286000,16000,43.8,NA
Belarus,2018,73.8,9450000,17200,27,NA
Belgium,2018,81.2,11500000,42800,27.7,Europe
Belize,2018,72.5,382000,7710,53.3,NA
Benin,2018,65,11500000,2160,47.8,Africa
Bhutan,2018,74.8,817000,9930,37.5,NA
Bolivia,2018,74,11200000,6980,44.6,Americas
Bosnia and Herzegovina,2018,77.9,3500000,12100,32.7,Europe
Botswana,2018,66.9,2330000,16500,60.5,Africa
Brazil,2018,75.7,211000000,14300,51.3,Americas
Brunei,2018,77.4,434000,76900,40,NA
Bulgaria,2018,75.3,7040000,18900,37.4,Europe
Burkina Faso,2018,61.6,19800000,1710,35.3,Africa
Burundi,2018,61.1,11200000,691,38.6,Africa
Cambodia,2018,69.3,16200000,3830,42,Asia
Cameroon,2018,61.2,24700000,3170,46.6,Africa
Canada,2018,82.2,37000000,43800,31.1,Americas
Cape Verde,2018,74.1,553000,6420,47.2,NA
Central African Republic,2018,51.6,4740000,689,56.2,Africa
Chad,2018,60.5,15400000,1860,43.3,Africa
Chile,2018,80.7,18200000,23400,47.7,Americas
China,2018,76.9,1420000000,16000,39.1,Asia
Colombia,2018,78.6,49500000,13700,50.8,Americas
Comoros,2018,68,832000,1440,45.3,Africa
"Congo, Dem. Rep.",2018,62.4,84000000,751,42.1,Africa
"Congo, Rep.",2018,63.9,5400000,5620,48.9,Africa
Costa Rica,2018,81.4,4950000,16200,48.7,Americas
Cote d'Ivoire,2018,61.2,24900000,3760,41.5,Africa
Croatia,2018,77.7,4160000,22600,31.1,Europe
